0,137,6,328,16,10,0,0
10,83,19,328,54,35,0,0
20,209,30,328,80,50,0,0
30,432,53,328,84,31,0,0
40,571,95,328,82,13,0,0
50,513,127,328,82,45,0,0
60,299,123,328,81,42,0,0
70,109,85,328,81,4,0,0
80,100,44,328,81,37,0,0
90,271,33,328,82,49,0,0
100,488,62,328,82,20,0,0
110,575,106,328,81,25,0,0
120,444,129,328,81,48,0,0
130,208,111,328,81,30,0,0
140,80,67,328,82,15,0,0
150,165,35,328,82,47,0,0
160,389,43,328,82,39,0,0
170,560,84,328,82,2,0,0
180,536,123,328,82,41,0,0
190,330,126,328,82,44,0,0
200,121,91,328,82,9,0,0
210,94,48,328,82,34,0,0
220,296,35,328,82,47,0,0
230,522,66,328,82,16,0,0
240,616,114,328,82,32,0,0
250,492,139,328,82,57,0,0
260,379,129,328,82,47,0,0
270,327,103,328,82,21,0,0
280,498,94,328,82,12,0,0
290,763,122,328,82,40,0,0
300,1015,179,328,82,97,0,0
310,1006,231,328,82,149,0,0
320,770,241,328,82,159,0,0
330,586,205,328,82,123,0,0
340,625,165,328,82,83,0,0
350,883,165,328,82,83,0,0
360,1080,206,328,82,124,0,0
370,1069,251,328,82,169,0,0
380,848,257,328,82,175,0,0
390,642,222,328,82,140,0,0
400,645,179,328,82,97,0,0
410,846,170,328,82,88,0,0
420,1060,203,328,82,121,0,0
430,1087,246,328,82,164,0,0
440,885,259,328,82,177,0,0
450,662,229,328,82,147,0,0
460,670,186,328,82,104,0,0
470,858,176,328,82,94,0,0
480,1082,207,328,82,125,0,0
490,1138,252,328,82,170,0,0
500,996,272,328,82,190,0,0
510,804,253,328,82,171,0,0
520,824,220,328,82,138,0,0
530,1115,219,328,82,137,0,0
540,1358,264,328,82,182,0,0
550,1551,326,328,82,244,0,0
560,1420,365,328,82,283,0,0
570,1260,359,328,82,277,0,0
580,1193,327,328,82,245,0,0
590,1410,315,328,82,233,0,0
600,1650,344,328,82,262,0,0
610,1713,393,328,82,311,0,0
620,1535,413,328,82,331,0,0
630,1336,390,328,82,308,0,0
640,1400,356,328,82,274,0,0
650,1663,357,328,82,275,0,0
660,1943,405,328,82,323,0,0
670,2080,467,328,82,385,0,0
680,1978,503,328,82,421,0,0
690,1781,495,328,82,413,0,0
700,1730,461,328,82,379,0,0
710,1957,448,328,82,366,0,0
720,2194,480,328,82,398,0,0
730,2241,528,328,82,446,0,0
740,2093,548,328,82,466,0,0
750,1899,528,328,82,446,0,0
760,1978,496,328,82,414,0,0
770,2211,499,328,82,417,0,0
780,2526,546,328,82,464,0,0
790,2607,607,328,82,525,0,0
800,2453,637,328,82,555,0,0
810,2221,617,328,82,535,0,0
820,2186,575,328,82,493,0,0
830,2382,559,328,82,477,0,0
840,2654,590,328,82,508,0,0
850,2768,644,328,82,562,0,0
860,2691,678,328,82,596,0,0
870,2503,671,328,82,589,0,0
880,2476,642,328,82,560,0,0
890,2677,632,328,82,550,0,0
900,2945,664,328,82,582,0,0
910,2969,712,328,82,630,0,0
